title,image_id,source_url,cloudinary_secure_url,cloudinary_public_id,status,error
Art Center Waco,mgrryov0ponno08x,https://maphub.net/media/images/m/gr/mgrryov0ponno08x/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759467/public-art-map/mgrryov0ponno08x.jpg,public-art-map/mgrryov0ponno08x,ok,
Art Center Waco,jzsocuthvvx5rgqb,https://maphub.net/media/images/j/zs/jzsocuthvvx5rgqb/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759467/public-art-map/jzsocuthvvx5rgqb.jpg,public-art-map/jzsocuthvvx5rgqb,ok,
Art Center Waco,smraeufzwprqzana,https://maphub.net/media/images/s/mr/smraeufzwprqzana/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759469/public-art-map/smraeufzwprqzana.jpg,public-art-map/smraeufzwprqzana,ok,
Baby Giraffe,1zn1jlzqe6llqk2y,https://maphub.net/media/images/1/zn/1zn1jlzqe6llqk2y/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759469/public-art-map/1zn1jlzqe6llqk2y.jpg,public-art-map/1zn1jlzqe6llqk2y,ok,
Bats Taking Flight,wf8zgal3h3yxyvqy,https://maphub.net/media/images/w/f8/wf8zgal3h3yxyvqy/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759469/public-art-map/wf8zgal3h3yxyvqy.jpg,public-art-map/wf8zgal3h3yxyvqy,ok,
Baylor Mural,xzi94aols3v784cw,https://maphub.net/media/images/x/zi/xzi94aols3v784cw/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759470/public-art-map/xzi94aols3v784cw.jpg,public-art-map/xzi94aols3v784cw,ok,
Beaver,cdjuqaierp1ezrb6,https://maphub.net/media/images/c/dj/cdjuqaierp1ezrb6/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759469/public-art-map/cdjuqaierp1ezrb6.jpg,public-art-map/cdjuqaierp1ezrb6,ok,
Blek Le Rat 'Selfie Rat',3m8em3lhqownwwbj,https://maphub.net/media/images/3/m8/3m8em3lhqownwwbj/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759470/public-art-map/3m8em3lhqownwwbj.jpg,public-art-map/3m8em3lhqownwwbj,ok,
Blek Le Rat 'Victor Hugo',f7xn9j22nap1xdon,https://maphub.net/media/images/f/7x/f7xn9j22nap1xdon/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759471/public-art-map/f7xn9j22nap1xdon.jpg,public-art-map/f7xn9j22nap1xdon,ok,
Blek Le Rat 'Violinist',tw51sizm72fufrcx,https://maphub.net/media/images/t/w5/tw51sizm72fufrcx/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759471/public-art-map/tw51sizm72fufrcx.jpg,public-art-map/tw51sizm72fufrcx,ok,
Blek Le Rat 'Young Picasso',k4xpfvj8dtdd0tjx,https://maphub.net/media/images/k/4x/k4xpfvj8dtdd0tjx/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759471/public-art-map/k4xpfvj8dtdd0tjx.jpg,public-art-map/k4xpfvj8dtdd0tjx,ok,
"Blek Le Rat ""Chopin""",kjxsuxyy0dxs0edu,https://maphub.net/media/images/k/jx/kjxsuxyy0dxs0edu/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759472/public-art-map/kjxsuxyy0dxs0edu.jpg,public-art-map/kjxsuxyy0dxs0edu,ok,
Blek Le Rat: 'In Honor of Kurt Kaiser',9ritdvpkbbyes4jc,https://maphub.net/media/images/9/ri/9ritdvpkbbyes4jc/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759472/public-art-map/9ritdvpkbbyes4jc.jpg,public-art-map/9ritdvpkbbyes4jc,ok,
Bold Waco,xuubyyoayl1ykrrn,https://maphub.net/media/images/x/uu/xuubyyoayl1ykrrn/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759472/public-art-map/xuubyyoayl1ykrrn.jpg,public-art-map/xuubyyoayl1ykrrn,ok,
Box Turtle II,zdvb7wovvwf6pswj,https://maphub.net/media/images/z/dv/zdvb7wovvwf6pswj/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759473/public-art-map/zdvb7wovvwf6pswj.jpg,public-art-map/zdvb7wovvwf6pswj,ok,
Cactus Rose Mural,5cgrfwngghklkgnr,https://maphub.net/media/images/5/cg/5cgrfwngghklkgnr/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759473/public-art-map/5cgrfwngghklkgnr.jpg,public-art-map/5cgrfwngghklkgnr,ok,
Cast Thy Burden,i11lgyn80vdzsqvd,https://maphub.net/media/images/i/11/i11lgyn80vdzsqvd/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759474/public-art-map/i11lgyn80vdzsqvd.jpg,public-art-map/i11lgyn80vdzsqvd,ok,
Cattle Drive Mural,qti9lonzsmbgbjsi,https://maphub.net/media/images/q/ti/qti9lonzsmbgbjsi/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759474/public-art-map/qti9lonzsmbgbjsi.jpg,public-art-map/qti9lonzsmbgbjsi,ok,
